antecedents	consequents	antecedent support	consequent support	support	confidence	lift	representativity	leverage	conviction	zhangs_metric	jaccard	certainty	kulczynski
frozenset({'age_adult'})	frozenset({'credit_no'})	0.1066135810661358	0.9831895598318956	0.1041804910418049	0.9771784232365146	0.9938860858160365	1.0	-0.0006408687987112666	0.7366029237296682	-0.006838537631534335	0.10570017953321366	-0.3575835335225984	0.5415700890085835
frozenset({'age_middle-aged'})	frozenset({'credit_no'})	0.5410307454103075	0.9831895598318956	0.5326255253262553	0.9844644317252658	1.0012966694780487	1.0	0.00068974489077267	1.0820614908206165	0.002821518632670102	0.5371403078295783	0.07583810302534898	0.7630983575949164
frozenset({'age_middle-aged'})	frozenset({'subscribed_term_d_no'})	0.5410307454103075	0.8847600088476001	0.4877239548772396	0.901471790678659	1.0188884914145544	1.0	0.00904158778119224	1.1696141840612868	0.0403912247629975	0.5199245460976185	0.14501720855703915	0.7263608953393295
frozenset({'age_senior'})	frozenset({'credit_no'})	0.3326697633266976	0.9831895598318956	0.3266976332669763	0.9820478723404256	0.9988387920924778	1.0	-0.0003798049075803833	0.9364037782529284	-0.0017390731633881297	0.33027728085867614	-0.06791538353863187	0.6571656684536773
frozenset({'job_manual-labor'})	frozenset({'credit_no'})	0.32625525326255256	0.9831895598318956	0.32116788321167883	0.9844067796610169	1.001238031686717	1.0	0.00039712436362615566	1.0780608368675588	0.0018352660491380455	0.32497761862130703	0.07240856378233199	0.6555329736325332
frozenset({'job_manual-labor'})	frozenset({'subscribed_term_d_no'})	0.32625525326255256	0.8847600088476001	0.29949126299491263	0.9179661016949152	1.037531186440678	1.0	0.010833662231760632	1.4047850161139652	0.05369028902956241	0.3285610288764863	0.2881473047268938	0.6282330508474576
frozenset({'job_white-collar'})	frozenset({'credit_no'})	0.48993585489935854	0.9831895598318956	0.48219420482194203	0.9841986455981941	1.001026338976251	1.0	0.0004943872975782249	1.063860713495751	0.0020101132267637614	0.4866071428571428	0.060027325650470045	0.7373186703806494
frozenset({'marital_divorced'})	frozenset({'credit_no'})	0.11678832116788321	0.9831895598318956	0.11280690112806901	0.9659090909090909	0.9824240719910011	1.0	-0.0020181569544881345	0.49310624493106286	-0.01985387547649297	0.11427291059825229	-1.0279605263157876	0.5403223744759178
frozenset({'marital_married'})	frozenset({'credit_no'})	0.6186684361866843	0.9831895598318956	0.610705596107056	0.9871290668573472	1.004006864175943	1.0	0.002437248650782653	1.306077809727454	0.010465625370276252	0.6161571077884401	0.2343488323956172	0.8041382117188873
frozenset({'marital_married'})	frozenset({'subscribed_term_d_no'})	0.6186684361866843	0.8847600088476001	0.557398805573988	0.900965319985699	1.0183160529138362	1.0	0.010025714499726335	1.163632690444991	0.047167900416160494	0.5891980360065465	0.1406222872463435	0.7654826599928495
frozenset({'marital_single'})	frozenset({'credit_no'})	0.26454324264543244	0.9831895598318956	0.25967706259677065	0.9816053511705686	0.9983887047563871	1.0	-0.0004190916962944491	0.9138766564114944	-0.002189607874613204	0.26281620774569064	-0.09423957049815103	0.6228611682736982
frozenset({'education_primary'})	frozenset({'credit_no'})	0.14996682149966822	0.9831895598318956	0.1477549214775492	0.9852507374631267	1.0020964193635087	1.0	0.0003091082579019522	1.1397478433974708	0.0024611199147371674	0.1499438832772166	0.12261294829994764	0.5677659761556354
frozenset({'education_primary'})	frozenset({'subscribed_term_d_no'})	0.14996682149966822	0.8847600088476001	0.13581066135810663	0.9056047197640118	1.0235597345132743	1.0	0.003126015041213709	1.2208236562707366	0.027078295407445902	0.15108267716535434	0.18088087918060913	0.5295523598820059
frozenset({'education_secondary'})	frozenset({'credit_no'})	0.5100641451006415	0.9831895598318956	0.49988940499889406	0.9800520381613183	0.9968088334144701	1.0	-0.0016003373086377892	0.8427146745141012	-0.00649186978154707	0.5032286795813851	-0.1866412562194762	0.7442442418028188
frozenset({'education_tertiary'})	frozenset({'credit_no'})	0.298606502986065	0.9831895598318956	0.2948462729484627	0.9874074074074074	1.0042899637545306	1.0	0.0012594767146518748	1.3349467192318194	0.006090216972407915	0.2987449574181981	0.2509064327485376	0.6436474607340749
frozenset({'balance_low'})	frozenset({'credit_no'})	0.8506967485069675	0.9831895598318956	0.8433974784339748	0.9914196567862714	1.0083708140226622	1.0	0.007001316718984629	1.9591803905008875	0.05560043127312992	0.8514962036623495	0.48958247803596167	0.924618714782337
frozenset({'housing_no'})	frozenset({'credit_no'})	0.43397478433974784	0.9831895598318956	0.42711789427117897	0.9841997961264017	1.001027509176032	1.0	0.00043841707804048724	1.0639381809619697	0.0018134430343936813	0.43141197497765865	0.060095766940292845	0.7093102467696126
frozenset({'housing_yes'})	frozenset({'credit_no'})	0.5660252156602521	0.9831895598318956	0.5560716655607166	0.9824150058616647	0.9992122028122804	1.0	-0.0004384170780403762	0.9559536975595389	-0.0018134430343932223	0.5599109131403118	-0.04607576972912735	0.7739971542244206
frozenset({'loan_no'})	frozenset({'credit_no'})	0.8471577084715771	0.9831895598318956	0.8358770183587702	0.9866840731070495	1.0035542619835705	1.0	0.0029604038584029047	1.2624310949772448	0.023172080914827326	0.8405249110320284	0.207877559433828	0.9184264010079679
frozenset({'loan_yes'})	frozenset({'credit_no'})	0.1528422915284229	0.9831895598318956	0.14731254147312542	0.9638205499276412	0.9802998214224671	1.0	-0.00296040385840296	0.4646405662464071	-0.02317208091482776	0.14899328859060404	-1.152201233909659	0.5568259105093774
